Start at 22:51:52
Epoch [1/20], Loss: 1.8226, Accuracy: 0.2458
Accuracy of class happy : 80.11%
Accuracy of class neutral : 52.18%
Accuracy of class sad : 38.77%
Accuracy of class surprise : 64.67%
Epoch [19/20], Loss: 1.2457, Accuracy: 0.5312
Accuracy of class angry : 38.94%
Accuracy of class disgust : 1.38%
Accuracy of class fear : 29.31%
Accuracy of class happy : 80.51%
Accuracy of class neutral : 52.16%
Accuracy of class sad : 41.19%
Accuracy of class surprise : 66.21%
Epoch [20/20], Loss: 1.2300, Accuracy: 0.5361
Accuracy of class angry : 39.84%
Accuracy of class disgust : 4.59%
Accuracy of class fear : 29.48%
Accuracy of class happy : 80.43%
Accuracy of class neutral : 53.04%
Accuracy of class sad : 41.75%
Accuracy of class surprise : 66.78%
End at 23:16:30
